# Rime user dictionary
#@/db_name	wubixinshiji
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1920
#@/user_id	macbookpro
nrqv 	快捷键	c=1 d=1 t=1919
nted 	必须	c=1 d=1 t=1467
ntg 	性	c=1 d=1 t=1363
ntud 	发送	c=1 d=1 t=1699
nua 	屏	c=1 d=1 t=17
nudu 	买	c=4 d=1.92623 t=1122
nugc 	买到	c=1 d=0.743603 t=778
nui 	飞	c=2 d=1.01168 t=1743
nuk 	悦	c=1 d=1 t=581
ny 	心	c=2 d=1.12809 t=991
nyk 	惊	c=2 d=1.00677 t=1326
o 	为	c=10 d=3.71617 t=1778
oan 	炼	c=1 d=1 t=225
ockg 	序号	c=2 d=1.9802 t=1748
oft 	烤	c=1 d=1 t=1358
oge 	精	c=1 d=1 t=199
oh 	店	c=4 d=2.90477 t=760
ohqg 	店铺	c=5 d=1.16483 t=1756
oieh 	应用	c=1 d=1 t=1859
oit 	炒	c=1 d=1 t=1085
oitw 	应答	c=3 d=2.78921 t=1717
oiyy 	应该	c=2 d=1.46301 t=1671
olaw 	烟花	c=1 d=1 t=1123
old 	烟	c=1 d=1 t=1353
olk 	库	c=2 d=1.00074 t=1706
oo 	火	c=1 d=1 t=507
ooev 	火腿	c=1 d=1 t=195
oqw 	炊	c=1 d=1 t=104
orol 	数据库	c=3 d=1.83581 t=1726
osi 	床	c=1 d=1 t=1713
ossd 	磨	c=1 d=1 t=873
oth 	炸	c=1 d=1 t=1621
ovfj 	唐朝	c=1 d=1 t=533
ovh 	唐	c=1 d=1 t=1134
ovhk 	唐	c=2 d=1.2334 t=1387
ovi 	康	c=1 d=1 t=232
ovpb 	数字	c=3 d=2.851 t=1759
ovrn 	数据	c=13 d=6.03733 t=1868
ovrp 	数控	c=2 d=1.96561 t=1715
owwg 	鹰	c=1 d=1 t=1191
p 	这	c=8 d=2.06991 t=1811
pa 	宽	c=1 d=1 t=1854
paoa 	宽度	c=1 d=1 t=1852
pb 	字	c=2 d=1.00557 t=1841
pbaj 	字幕	c=2 d=1.99501 t=214
pds 	寄	c=1 d=1 t=745
pfq 	完	c=1 d=1 t=1721
pge 	家	c=2 d=1.00335 t=1177
pgk 	富	c=1 d=1 t=322
pgn 	写	c=1 d=1 t=1559
pgy 	宝	c=1 d=1 t=1623
pgyr 	定义	c=2 d=1.8781 t=1852
phn 	官	c=1 d=1 t=772
pkk 	宫	c=1 d=1 t=1006
pluw 	军阀	c=1 d=1 t=248
pndc 	密码	c=13 d=8.72882 t=1442
pp 	之	c=4 d=2.55896 t=300
pt 	客	c=1 d=1 t=941
puhc 	被	c=2 d=1.90032 t=620
pujf 	实时	c=1 d=1 t=1264
puo 	裤	c=2 d=1.99005 t=872
puyd 	实诚	c=1 d=1 t=1089
pvuf 	安装	c=17 d=7.89983 t=1720
pvwg 	安全	c=1 d=1 t=571
pvwg 	案例	c=1 d=1 t=1633
pvwx 	初始化	c=1 d=1 t=413
pw 	空	c=3 d=1.93422 t=1504
pwa 	穿	c=1 d=1 t=1502
pwst 	空格	c=1 d=1 t=1714
pwwf 	宿舍	c=2 d=1.41271 t=802
pwwf 	空值	c=6 d=5.58436 t=1475
pxwu 	它们	c=1 d=1 t=684
pyhh 	视频	c=1 d=1 t=1795
pyj 	神	c=4 d=1.10652 t=1010
pym 	视	c=1 d=1 t=1064
pytn 	神秘	c=1 d=1 t=515
q 	我	c=13 d=1.59145 t=1669
qbn 	怨	c=1 d=1 t=326
qdud 	乌克兰	c=2 d=1.43171 t=1688
qedf 	解压	c=2 d=1.36788 t=1536
qehj 	触	c=1 d=1 t=16
qera 	触摸	c=1 d=1 t=445
qesr 	解析	c=1 d=1 t=1878
qeto 	解释	c=1 d=1 t=1804
qfhw 	镇	c=1 d=1 t=900
qgb 	钝	c=1 d=1 t=1115
qhru 	外接	c=2 d=1.99501 t=179
qiu 	尔	c=2 d=1.91393 t=510
qk 	名	c=5 d=2.29342 t=1875
qkxj 	免费	c=2 d=1.99005 t=977
qlp 	链	c=1 d=1 t=911
